categories,city,avg(stars)
Mags,Gastonia,3.625
Fitness & Instruction,Stouffville,4.0
Auto Detailing,Madison,3.433333333333333
Active Life,Lagrange,4.25
Reflexology,Cleveland,4.0
Vietnamese,Pittsburgh,3.6153846153846154
Automotive,Fairview,3.5
Parks,Lakewood,4.0
American (New),Streetsboro,3.4166666666666665
Makeup Artists,Montréal,4.142857142857143
Shopping,Mirabel,3.0
Donuts,North Ridgeville,3.5
Family Practice,Gastonia,4.5
Legal Services,Gilbert,4.0
Steakhouses,Kirkland,2.5
Irish Pub,Toronto,3.3181818181818183
Event Planning & Services,Mount Lebanon,4.25
Florists,Etobicoke,4.214285714285714
Event Planning & Services,Bethel Park,4.375
Test Preparation,Phoenix,4.0625
Laundry Services,Pineville,3.5
Men's Clothing,North York,3.125
Bed & Breakfast,Leinfelden-Echterdingen,3.8333333333333335
Junk Removal & Hauling,Cleveland,3.142857142857143
Musical Instruments & Teachers,Monroeville,2.75
Meat Shops,Oakville,4.5
Tobacco Shops,Cave Creek,4.666666666666667
Used,Peoria,3.3333333333333335
Home & Garden,Waunakee,4.111111111111111
Leather Goods,Cleveland,3.8333333333333335
Real Estate,New Kensington,1.0
Comfort Food,DeForest,3.0
Makeup Artists,Matthews,4.142857142857143
Sushi Bars,Saint-Jean-sur-Richelieu,4.25
Restaurants,Cramerton,4.222222222222222
Weight Loss Centers,Champaign,3.5
Cinema,Toronto,3.775
Addiction Medicine,Phoenix,2.625
Hobby Shops,Stuttgart,3.5
Registration Services,Mesa,3.6666666666666665
Financial Services,Painesville,3.5
Convenience Stores,Oregon,3.0
Education,Brunswick,3.75
Trivia Hosts,Charlotte,5.0
Transportation,Savoy,5.0
Automotive,North Huntington,4.0
Psychologists,Cleveland,5.0
Gun/Rifle Ranges,Peoria,3.3333333333333335
Acai Bowls,Davidson,5.0
Cafes,Belmont,4.5
Periodontists,Monroeville,2.5
Hotels & Travel,Alburg,5.0
Optometrists,Moon Township,2.0
Tree Services,Toronto,3.0
Massage Therapy,North Ridgeville,3.5
Auto Insurance,Peoria,4.0
Fitness & Instruction,Mint Hill,4.5
Venues & Event Spaces,Saint-Laurent,3.8333333333333335
Post Offices,Carefree,4.0
Antiques,Monona,2.5
Music Venues,Gastonia,3.6666666666666665
Event Planning & Services,Joliette,3.0
Soup,Stow,3.0
Food,St Davids,4.5
Mailbox Centers,Boulder City,2.0
Spray Tanning,Tempe,4.7272727272727275
Graphic Design,Moon Township,5.0
Automotive,San Tan Valley,4.166666666666667
Mexican,Woodbridge,3.5
Auto Loan Providers,Parma,2.0
Wallpapering,Las Vegas,4.5
Embroidery & Crochet,Matthews,5.0
Nail Salons,Rocky River,4.125
Burgers,Chardon,2.7
Printing Services,Pineville,3.1666666666666665
Desserts,Mayfield Heights,4.0
Sporting Goods,Sheffield Village,4.0
Turkish,Verdun,4.0
Cosmetic Dentists,Huntersville,4.4375
Barbeque,Monroeville,3.5
Department Stores,Aurora,3.4583333333333335
Appliances,Murrysville,3.0
Orthodontists,Kannapolis,2.0
British,Charlotte,3.25
Marinas,Cleveland,3.75
Books,Montreal,4.166666666666667
Barbers,El Mirage,4.333333333333333
American (Traditional),Caledon,3.75
Chinese,Bridgeville,3.25
Orthopedists,Sun City,1.5
Real Estate,Stow,2.5
Skilled Nursing,Phoenix,3.3
Soup,Bethel Park,2.0
Muay Thai,Mesa,5.0
Neurologist,Mesa,2.0
Mobile Phone Accessories,Tempe,3.4285714285714284
Noodles,Scarborough,3.25
Lounges,Bedford,3.0
Food Stands,Montréal,3.8125
Lakes,Madison,4.5
Vintage & Consignment,Mount Horeb,5.0
Yoga,Woodmere,4.0
Nurseries & Gardening,Twinsburg,3.0
Building Supplies,Fitchburg,3.5
Home Services,Longueuil,3.0
Lawn Services,Phoenix,3.75
Chicken Wings,Lower Burrell,3.0
Graphic Design,Berea,5.0
Carpeting,Kannapolis,2.0
Endocrinologists,Henderson,2.6666666666666665
Lounges,Berea,3.75
Distilleries,Edinburgh,4.5
American (Traditional),Whtiby,4.0
Cafes,Unionville,3.8333333333333335
Musical Instruments & Teachers,Matthews,3.0
Comfort Food,Blainville,5.0
Dumpster Rental,Pittsburgh,5.0
Latin American,McKees Rocks,4.5
Veterinarians,Mc Murray,5.0
Installment Loans,Henderson,4.125
Wineries,McCandless,3.5
Dance Schools,Surprise,3.5
Ice Cream & Frozen Yogurt,Boulder City,3.9
Hair Stylists,Monroeville,3.8333333333333335
Party Supplies,McFarland,2.0
Ice Cream & Frozen Yogurt,Ludwigsburg,4.0
Argentine,Las Vegas,3.8
Photography Stores & Services,North York,3.375
Spanish,Inverness,4.0
Diners,Beachwood,4.25
Food Delivery Services,clinton,5.0
Breakfast & Brunch,Boulder City,3.875
Auto Glass Services,Coraopolis,4.0
Party Bus Rentals,Oregon,1.5
Diagnostic Imaging,Wexford,2.5
Counseling & Mental Health,Stuttgart,5.0
Music & DVDs,Medina,4.5
Prenatal/Perinatal Care,Gilbert,5.0
Women's Clothing,Carefree,4.25
Mexican,North Ridgeville,3.75
Southern,Brampton,4.0
Active Life,Fort McDowell,4.166666666666667
Costumes,Cleveland,4.0
Electricians,Brunswick,5.0
Car Stereo Installation,Pickering,3.0
Radiologists,Gilbert,2.5
Hotels,St. Jean Sur Richelieu,4.0
Himalayan/Nepalese,Charlotte,3.5
Periodontists,Sun Prairie,3.75
Payroll Services,Middleton,2.5
Steakhouses,Saint-Hubert,4.0
Snow Removal,Cleveland,3.5
Restaurants,Oßweil,5.0
Fitness & Instruction,Ambridge,2.5
Airport Shuttles,Monroeville,3.0
Pubs,Caledon,4.5
Waxing,Etna,4.5
Lighting Fixtures & Equipment,Fort Mill,3.5
Farmers Market,Notre-Dame-De-L'ile-Perrot,4.0
Reflexology,Moreland Hills,5.0
Arcades,Medina,3.5
Banks & Credit Unions,Rocky River,1.0
Castles,Edinburgh,4.0
Zoos,Blue Diamond,3.5
Burgers,Greenfield Park,2.6666666666666665
Cafes,Macedonia,4.0
Specialty Food,Fellbach,4.166666666666667
Indian,Mayfield,4.0
Commercial Real Estate,Surprise,5.0
Keys & Locksmiths,Cuyahoga Falls,5.0
RV Rental,El Mirage,2.5
Fishing,Middleburg Hts,4.5
Cosmetics & Beauty Supply,Twinsburg,4.75
Auto Customization,Warrensville Heights,3.5
Auto Security,Warrensville Heights,3.5
Dog Walkers,Montréal,5.0
Watch Repair,Berea,3.5
Churches,Goodyear,3.6666666666666665
Coffee & Tea,Old Town,4.5
Pets,Tallmadge,4.0
Shoe Repair,Markham,3.5
Event Planning & Services,Saint-Jerome,2.5
Parks,Elizabeth,5.0
American (Traditional),N. Las Vegas,2.5
Cosmetics & Beauty Supply,Medina,4.0
Makeup Artists,Warrensville Heights,3.5
Hair Removal,Warrensville Heights,3.5
Desserts,Youngtown,5.0
Public Services & Government,Vaughan,4.166666666666667
Donuts,Pineville,4.0
Cambodian,Madison,3.0
Farm Equipment Repair,Stallings,4.0
Auto Detailing,Garfield Heights,5.0
Nightlife,Etna,3.0
Lounges,Robinson Township,3.0
Dry Cleaning,Oakville,2.5
Nightlife,Maple Heights,4.0
Thai,Brecksville,3.0
Delis,Penicuik,2.5
Gas Stations,Brampton,3.0
Men's Clothing,Elyria,3.5
Real Estate Agents,Fort Mill,5.0
Nightlife,Châteauguay,4.0
Party Characters,Surprise,5.0
Mexican,Esslingen,3.5
Pasta Shops,Madison,4.0
Tanning Beds,Avon,4.0
Auto Detailing,York,2.5
Hair Salons,Indian Land,3.5
Tree Services,Allison Park,3.5
Firearm Training,Valley City,5.0
Photography Stores & Services,Beachwood,3.0
Convenience Stores,Beachwood,3.0
Delis,Olivos,2.0
Salad,Waxhaw,4.5
Social Security Law,Phoenix,4.5
Sandwiches,Mc Murray,4.5
Delis,Lyndhurst,4.0
Wineries,Monongahela,5.0
Home Decor,Middlefield,5.0
Medical Spas,York,2.0
Airport Shuttles,Peoria,3.5
Discount Store,Euclid,2.0
Wine Tours,Madison,5.0
Bakeries,Mc Farland,4.0
Festivals,Montreal,3.0
Window Washing,Urbana,5.0
Arts & Entertainment,Tempe,4.015151515151516
Doctors,Las Vegas,3.411045943304008
Tires,Wexford,3.5625
Auto Parts & Supplies,Scottsdale,3.9056603773584904
Office Cleaning,Henderson,4.342105263157895
Delis,Las Vegas,3.6005747126436782
Bed & Breakfast,Montréal,4.404761904761905
Hair Stylists,Champaign,3.909090909090909
Hair Stylists,Charlotte,4.234782608695652
Financial Services,Glendale,3.2285714285714286
Pool Halls,Fellbach,4.0
Payroll Services,Tempe,4.375
Men's Hair Salons,North Las Vegas,4.333333333333333
Floral Designers,Phoenix,4.375
Professional Services,Madison,3.6578947368421053
Sports Clubs,Las Vegas,4.125
Men's Clothing,Toronto,3.3868778280542986
Title Loans,Phoenix,3.5714285714285716
Venues & Event Spaces,North Olmsted,3.5
Pediatric Dentists,Phoenix,4.123287671232877
Department Stores,Gilbert,3.173076923076923
Mexican,Matthews,3.21875
Restaurants,Kannapolis,3.3472222222222223
Shopping,Homestead,3.5121951219512195
Personal Assistants,Charlotte,3.6666666666666665
Steakhouses,Lasalle,4.5
Auto Loan Providers,Henderson,3.4
Mags,Pineville,3.5
Vegan,Cleveland,4.222222222222222
Air Duct Cleaning,Chandler,4.2
Bars,Champaign,3.448051948051948
Beauty & Spas,Cornelius,4.126760563380282
Art Supplies,Cuyahoga Falls,3.0
Burgers,Sun Prairie,2.5
French,Laval,3.6578947368421053
Lounges,Fitchburg,3.75
Used,Tempe,3.9166666666666665
Wine Bars,Pineville,3.9
Printing Services,Huntersville,3.6
Grocery,Mentor,3.55
Well Drilling,Charlotte,2.0
Plumbing,Cave Creek,4.1
Education,Goodyear,4.15
Wineries,Homestead,4.25
Vehicle Shipping,Marvin,3.5
Stucco Services,Las Vegas,4.071428571428571
Taiwanese,Montréal,3.6923076923076925
Mobile Phones,Mesa,2.955357142857143
Financial Advising,Phoenix,3.6842105263157894
Burgers,Avalon,4.0
American (Traditional),Whitby,3.235294117647059
Home Decor,Mesa,3.8846153846153846
Izakaya,Las Vegas,3.3333333333333335
Local Services,Fort Mill,3.6463414634146343
Nail Salons,Monroeville,3.2777777777777777
Animal Shelters,Phoenix,3.975
Pet Stores,Richmond Hill,2.6666666666666665
Medical Spas,Oakville,3.1
Canadian (New),Pickering,3.3
Drugstores,El Mirage,2.6666666666666665
Comfort Food,Bolton,3.0
French,Longueuil,4.285714285714286
Christmas Trees,Ajax,3.5
Bakeries,Chester,3.0
Diners,Stanley,4.0
Bed & Breakfast,West Mifflin,2.5
Breakfast & Brunch,Springdale,5.0
Shopping Centers,Peoria,3.5
Food Trucks,Fairview Park,4.5
Hotels,Brettin,4.0
Optometrists,Pittsburgh,3.5277777777777777
Doctors,Garfield Heights,2.8333333333333335
Canadian (New),Boucherville,2.75
Fashion,Parma,2.7777777777777777
Flooring,Madison,3.4444444444444446
Grocery,Twinsburg,4.0
Home Health Care,Fountain Hills,5.0
Cantonese,Madison,3.25
Mexican,Goodyear,3.119047619047619
Steakhouses,Vanier,4.5
Orthopedists,Glendale,3.2857142857142856
Italian,Gastonia,3.3636363636363638
Restaurants,Saint-Lambert,4.157894736842105
Pizza,La Prairie,3.5
Car Wash,Willowick,1.0
Eyebrow Services,MESA,4.75
Art Supplies,Peoria,3.75
Event Planning & Services,Woodbridge,3.4411764705882355
Barbers,Ajax,4.25
Lingerie,Madison,3.8333333333333335
Cafes,Gerlingen,4.2
Belgian,Montréal,3.611111111111111
Wine Bars,Peninsula,4.0
Jewelry Repair,Pittsburgh,4.392857142857143
Beaches,Tempe,3.5
Fishing,Tottenham,4.5
Amusement Parks,Huntersville,3.6666666666666665
Furniture Stores,Beachwood,3.1666666666666665
Divorce & Family Law,Pittsburgh,2.5
Grocery,Aspinwall,4.0
Solar Installation,Scottsdale,5.0
Bounce House Rentals,Litchfield Park,5.0
Sewing & Alterations,Cave Creek,5.0
Hungarian,Cleveland,4.0
Building Supplies,Pittsburgh,3.3333333333333335
Hotels & Travel,Esslingen,3.375
Grocery,Hudson,3.6666666666666665
Driving Schools,North York,2.9285714285714284
Diners,Hudson,3.75
Home Organization,Pittsburgh,4.0
Italian,WICKLIFFE,4.0
Auto Repair,Gastonia,3.2045454545454546
Photographers,Cleveland,4.2
Event Planning & Services,Newhaven,3.5
Seafood,Avon Lake,2.5
Vape Shops,Verona,5.0
Persian/Iranian,Oak Ridges,3.5
Optometrists,Solon,4.0
Hair Extensions,Markham,3.75
Music & Video,Etobicoke,3.875
Mags,East York,3.5
Roofing,Scottsdale,3.6875
Gas Stations,Canonsburg,3.0
Local Services,Anthem,4.416666666666667
Bagels,Edinburgh,3.95
Home Organization,Madison,3.5
Festivals,Pittsburgh,3.85
Towing,Brook Park,4.0
Home Energy Auditors,Goodyear,4.75
RV Dealers,Peninsula,3.0
Breweries,Leinfelden-Echterdingen,3.0
Zoos,Las Vegas,3.6875
Business Law,Westmount,5.0
Burgers,New Kensington,2.5
Shipping Centers,Boulder City,1.75
Tree Services,Cleveland,3.6666666666666665
Family Practice,Belmont,2.0
Massage Therapy,Richmond Hill,4.5
Event Photography,Peoria,4.5
American (Traditional),Sheffield Village,3.25
Plus Size Fashion,Cleveland,5.0
Hotels & Travel,Kirtland,5.0
Cards & Stationery,Amherst,3.5
Nail Salons,White Oak,3.6666666666666665
Chinese,Dalkeith,4.0
Tattoo,Pointe-Claire,5.0
Gyms,Litchfield Park,4.166666666666667
Serbo Croatian,Stuttgart,4.071428571428571
Gardeners,Mint Hill,1.0
Doctors,Mayfield Village,5.0
Optometrists,Paradise Valley,1.5
Utilities,Sun City,3.5
Musical Instrument Services,Lakewood,3.5
IT Services & Computer Repair,Copley,3.0
Asian Fusion,Solon,3.5
Restaurants,Vimont,3.6666666666666665
Auto Repair,Dravosburg,5.0
Nail Salons,Painesville,3.1
Shaved Ice,Avondale,4.333333333333333
Fashion,Lake Wylie,2.5
Bakeries,North Royalton,4.333333333333333
Tapas Bars,Leinfelden-Echterdingen,3.5
Trophy Shops,Glendale,5.0
Cards & Stationery,Davidson,4.5
Wine Bars,Henderson,3.875
Chiropractors,Moon Township,5.0
Photographers,Ludwigsburg,2.0
Trainers,Paradise Valley,5.0
Asian Fusion,Oakland,3.0
Musical Instrument Services,Fairlawn,4.0
American (New),Munhall,2.0
Telecommunications,Fountain Hills,5.0
Veterinarians,McKees Rocks,4.0
Organic Stores,Communauté-Urbaine-de-Montréal,4.5
Day Spas,Lasalle,3.5
Jewelry,Sewickley,5.0
Russian,Mesa,4.5
Saunas,North Royalton,3.5
Physical Therapy,Richmond Hill,3.8
Books,Ajax,4.0
Dance Studios,Wexford,3.5
Skate Shops,Tempe,4.5
Pop-Up Restaurants,Parma,4.0
Bike Rentals,Boulder City,4.666666666666667
Used,Cave Creek,4.0
Restaurants,Cuddy,3.75
Cannabis Tours,Mesa,3.75
Fast Food,Wickliffe,3.0
Skate Parks,Phoenix,4.25
Sushi Bars,Ajax,3.3333333333333335
Coffee & Tea,Moss,3.5
Transportation,South Hills,4.0
Bakeries,Glenshaw,3.5
Women's Clothing,Brossard,3.0
Pet Sitting,Verona,5.0
Local Flavor,Newmarket,4.5
Photography Stores & Services,Northfield,3.0
Peruvian,Bedford,4.5
Country Dance Halls,Scottsdale,3.6666666666666665
Nail Salons,Allison Park,4.25
Pet Groomers,Monona,3.5
Banks & Credit Unions,Rankin,1.0
Wholesale Stores,Brossard,4.5
Jewelry Repair,Fairview Park,5.0
Piercing,Pineville,4.5
Electronics,Parma Heights,1.5
Day Spas,Indian Trail,5.0
Art Supplies,Madison,3.7
Hair Stylists,CHARLOTTE,5.0
American (Traditional),Sun City West,3.5
Pool & Billiards,Concord,3.5
Seafood,Indian Land,3.0
Piercing,Sun Prairie,4.0
Brazilian,Thornhill,3.0
Cafeteria,Las Vegas,4.125
Flowers & Gifts,Fellbach,4.0
Jazz & Blues,Champaign,4.0
Discount Store,Huntersville,3.5
Restaurants,Loanhead,3.0
Circuit Training Gyms,Strongsville,3.0
Beauty & Spas,Warrensville Heights,3.5
Uniforms,Peoria,4.0
Printing Services,N Las Vegas,3.75
Active Life,Ballantyne,2.5
Pizza,Leonberg,3.0
Food Trucks,Cave Creek,2.75
Sporting Goods,Middlefield,4.0
Motorcycle Dealers,DeForest,1.5
Doctors,Cleveland Heights,5.0
Car Dealers,Sun City,2.75
Gift Shops,Elyria,4.0
Pizza,Sun City West,3.3333333333333335
Customized Merchandise,Pineville,5.0
Divorce & Family Law,Fort Mill,5.0
Barbers,McKees Rocks,4.5
Medical Spas,Bethel Park,5.0
French,West Mifflin,2.0
Vintage & Consignment,Solon,3.5
Trainers,West Las Vegas,5.0
Chocolatiers & Shops,North Royalton,2.5
Hot Tub & Pool,North Scottsdale,4.5
Leather Goods,Westlake,3.5
Restaurants,Edimbourg,5.0
Canadian (New),Salaberry-De-Valleyfield,3.5
Mini Golf,Bethel Park,2.5
Orthodontists,Anthem,4.5
Hot Dogs,Cornelius,4.0
French,Beachwood,3.5
Keys & Locksmiths,Richmond Hill,5.0
Car Rental,Willoughby Hills,3.0
Car Wash,Cuyahoga Falls,3.0
Rest Stops,Richfield,3.5
Hotels & Travel,Brentwood,3.5
Barbeque,Mayfield Heights,3.5
Summer Camps,Newmarket,4.5
Fast Food,Dollard-des-Ormeaux,3.3333333333333335
Cosmetics & Beauty Supply,Lower Burrell,3.5
Restaurants,Newbridge,1.5
Venues & Event Spaces,Lachine,1.5
Chicken Shop,Verdun,4.25
Gerontologists,Phoenix,3.0
Pizza,Mount Washington,4.0
Nail Salons,Homestead,2.0
Barbeque,Peninsula,4.0
Self-defense Classes,Scottsdale,4.5
Piercing,McFarland,5.0
Appliances,Vaudreuil-Dorion,4.5
Juice Bars & Smoothies,Saint-Lambert,4.5
Chicken Shop,Boulder City,5.0
Tobacco Shops,North Olmsted,4.0
Eyewear & Opticians,las vegas,3.5
Adult Entertainment,Edinburgh,2.5
Active Life,Seven Hills,4.5
Latin American,Avondale,4.0
Cosmetic Surgeons,Garfield Heights,2.5
Outdoor Gear,Medina,3.75
Halal,Newmarket,3.5
Beer,New Kensington,4.5
Food,Pine,3.5
Weight Loss Centers,Avondale,3.5
Churches,Broadview Heights,4.5
Nightlife,Phx,4.5
Custom Cakes,Carnegie,5.0
Motorcycle Repair,Goodyear,3.25
Game Meat,Montréal,3.5
Plumbing,Mc Farland,5.0
Cafeteria,Concord,4.5
Optometrists,Davidson,4.5
Fabric Stores,Old Scottsdale,4.0
Leather Goods,Peoria,4.0
Food,Sheffield Lake,4.0
Pharmacy,Broadview Heights,3.5
Convenience Stores,Lake Wylie,3.0
Tours,Portobello,3.5
Movers,N Las Vegas,2.5
Cafes,Allison Park,4.5
Real Estate Law,Berea,4.0
Art Galleries,South Euclid,4.5
Diners,Medina Township,3.0
American (New),Summerlin,3.0
Breweries,Ditzingen,4.5
Greek,Chateauguay,4.0
Printing Services,Montreal,3.0
Barbers,Goodyear,4.363636363636363
Food,Chesterland,3.95
Food,Pittsburgh,3.782967032967033
Bars,Stuttgart,3.8142201834862384
Arcades,Toronto,3.9342105263157894
Adult,Toronto,3.85
Gas Stations,Cleveland,3.310344827586207
Shopping,North Las Vegas,3.5331632653061225
Southern,Pittsburgh,3.4583333333333335
Wine & Spirits,Peoria,3.8181818181818183
Threading Services,Tempe,4.625
Mexican,Medina,3.9285714285714284
Restaurants,Solon,3.2054794520547945
Ice Cream & Frozen Yogurt,Gilbert,3.7169811320754715
Food,Macedonia,3.5555555555555554
Hobby Shops,Pittsburgh,3.8333333333333335
Sporting Goods,Mesa,3.926470588235294
Dive Bars,Mesa,3.55
Registration Services,Las Vegas,3.7291666666666665
Lounges,Phoenix,3.867088607594937
Hair Extensions,Cleveland Heights,4.25
Specialty Food,Scottsdale,4.0636363636363635
Banks & Credit Unions,Scottsdale,3.1095890410958904
Food,Whitby,3.6944444444444446
Auto Loan Providers,Phoenix,3.05
Auto Repair,Chagrin Falls,4.375
Transmission Repair,Las Vegas,4.158536585365853
Home Services,Waxhaw,4.368421052631579
Health & Medical,Broadview Heights,4.0
Sandwiches,Fort Mill,3.21875
Hot Tub & Pool,Madison,3.125
Caterers,Montréal,3.9921875
Vegan,Tempe,3.9375
Dentists,Mentor,3.142857142857143
Bakeries,Chandler,3.7111111111111112
Appliances,Madison,3.3125
Imported Food,North Las Vegas,2.5
Pet Stores,Inverness,4.0
Italian,Newmarket,3.34375
Accessories,Rocky River,4.1
Vintage & Consignment,Tempe,3.9166666666666665
Limos,Mississauga,2.75
Asian Fusion,Scottsdale,3.625
Cheese Shops,Saint-Leonard,5.0
Videos & Video Game Rental,Glendale,3.5625
Hotels,Middleburg Heights,3.125
Bars,Gastonia,3.3125
Child Care & Day Care,Gilbert,4.2
Toy Stores,Mayfield Heights,3.5
Burgers,Strongsville,2.9545454545454546
Patio Coverings,Las Vegas,4.35
Self Storage,Cleveland,4.033333333333333
Couriers & Delivery Services,Brampton,1.5
Plastic Surgeons,Scottsdale,4.1
Nutritionists,Charlotte,4.535714285714286
Public Services & Government,Cornelius,3.5
Car Dealers,Concord,3.40625
Toy Stores,Gilbert,3.65
Home & Garden,Stanley,3.0
Medical Centers,Henderson,3.306451612903226
Shopping,Solon,3.7115384615384617
Sports Clubs,Peoria,3.125
Buffets,Tuscola,2.75
Sandwiches,Esslingen,4.0
Soup,Oakville,3.25
Mediterranean,Matthews,4.0
Organic Stores,Whitby,4.333333333333333
Wholesalers,Mesa,3.5625
Kitchen & Bath,Cave Creek,2.75
Salad,Concord,3.4285714285714284
Makeup Artists,Richmond Hill,2.6666666666666665
Grocery,Shaker Heights,4.0
British,Pickering,3.0
Nightlife,Brunswick,3.2916666666666665
Italian,Allison Park,3.125
Mass Media,Scottsdale,3.730769230769231
Grocery,Streetsboro,3.1
Pizza,Beachwood,2.9
Restaurants,columbia station,3.7
Computers,Etobicoke,2.75
Arts & Crafts,Willoughby,3.5
Accountants,Henderson,3.9615384615384617
American (Traditional),Cleveland Heights,3.5833333333333335
Limos,Indian Trail,3.5
Yoga,Mississauaga,5.0
Accessories,Oakville,3.0
Hospitals,Henderson,3.088235294117647
Cafes,Gibsonia,4.0
Skin Care,Gibsonia,4.0
Car Dealers,West Mifflin,2.8333333333333335
Fashion,Kirkland,2.5
Dry Cleaning & Laundry,Strongsville,3.5
Pet Services,Vaughan,4.25
Sporting Goods,Lasalle,3.0
Florists,Avondale,3.25
Bars,Missisauga,2.8333333333333335
Nail Salons,Brampton,2.975
Dentists,Fort Mill,4.133333333333334
Flowers & Gifts,White Oak,5.0
Florists,Cornelius,4.5
Diagnostic Services,Concord,5.0
Roofing,North York,3.25
Naturopathic/Holistic,Pittsburgh,3.2
Landscape Architects,Peoria,4.5
Adult,Glendale,4.25
Accessories,Waunakee,4.5
Venues & Event Spaces,Carnegie,4.0
Casinos,Saint-Laurent,2.0
Web Design,Laveen Village,5.0
Signmaking,Laveen Village,5.0
Mobile Dent Repair,Gilbert,4.75
Cabaret,Montréal,4.25
Makeup Artists,Paradise Valley,3.5
Coffeeshops,Chandler,4.0
Florists,Mississauga,3.8214285714285716
Advertising,Fitchburg,5.0
Hot Dogs,Avon,1.5
Local Flavor,Murrysville,4.25
Restaurants,Nellis Afb,3.375
Home Services,Higley,3.0
Laundry Services,Willoughby,2.3333333333333335
Stadiums & Arenas,Edinburgh,3.875
Health & Medical,Summerlin,5.0
Apartments,Fountain Hills,2.0
Delis,Broadview Heights,3.9166666666666665
Home Services,Robinson,2.5
Yoga,Fitchburg,4.333333333333333
Thrift Stores,Ajax,2.5
Garage Door Services,Goodyear,4.875
Hardware Stores,Brunswick,3.5
Auto Glass Services,Peoria,4.25
Grocery,Gibsonia,3.8333333333333335
Automotive,McKeesport,4.428571428571429
Tapas Bars,Madison,3.8
Bed & Breakfast,Alburg,5.0
Rugs,Charlotte,3.3333333333333335
Convenience Stores,Westlake,4.166666666666667
Costumes,Phoenix,3.3076923076923075
IT Services & Computer Repair,Cave Creek,5.0
Ethnic Food,Oakville,3.3125
Waffles,Mississauga,4.0
Travel Services,Gilbert,4.166666666666667
Hair Loss Centers,Huntersville,5.0
Fingerprinting,Mesa,5.0
Grocery,Pleasant Hills,3.0
Vietnamese,Leinfelden-Echterdingen,4.0
Medical Centers,Laveen,2.5
Asian Fusion,Sewickley,3.0
Swimming Pools,Pittsburgh,3.5
Beer,Black Earth,3.0
Hotels,Schönaich,3.75
Coffee & Tea,Kirkland,4.0
Photography Stores & Services,Mayfield Heights,2.5
Delis,Wexford,3.5
Appliances,San Tan Valley,5.0
Golf,Richmond Hill,4.0
Kickboxing,Markham,4.25
Gas Stations,Strongsville,3.5
Counseling & Mental Health,Urbana,5.0
Window Washing,Lakewood,4.75
Diners,Frazer,3.0
Electricians,Mint Hill,1.0
Jazz & Blues,Edinburgh,4.166666666666667
Specialty Food,Stow,4.2
Pets,Valley View,5.0
American (Traditional),Cramerton,3.75
Nightlife,Warrensvile Heights,3.0
Fitness & Instruction,Fellbach,4.25
Turkish,Scottsdale,4.0
Education,McMurray,4.5
Hostels,Charlotte,3.0
Amateur Sports Teams,Leonberg,3.0
Self Storage,Highland Heights,3.5
Cabinetry,Brooklyn Heights,4.0
Electronics,Mentor,3.0
Printing Services,Surprise,4.25
American (New),Russellton,4.5
Buffets,Montreal,4.5
Fish & Chips,Laval,4.5
Sports Wear,North Ridgeville,2.5
Personal Chefs,Matthews,5.0
Fast Food,Waunakee,2.8333333333333335
Snow Removal,Waunakee,2.75
Musical Instruments & Teachers,Newmarket,5.0
Electronics,Hudson,2.5
Dive Bars,South Euclid,4.0
Noodles,Cuyahoga Falls,4.5
Videos & Video Game Rental,Fairlawn,2.5
Wine Bars,Olmsted Falls,4.5
Arts & Entertainment,Carnegie,4.833333333333333
Computers,Pointe-Claire,2.6666666666666665
Blow Dry/Out Services,Indian Trail,5.0
Horse Boarding,Surprise,2.5
Kosher,Scottsdale,4.3
Restaurants,Woodmere Village,3.5
Noodles,Fitchburg,3.25
Drugstores,Anthem,2.75
Battery Stores,Scottsdale,4.5
Permanent Makeup,Strongsville,4.166666666666667
Sandwiches,Paradise Valley,3.5
Bagels,Stuttgart,3.5
Local Flavor,Cross Plains,3.5
Pool Halls,Madison,3.75
Wholesalers,Glendale,3.3333333333333335
Bowling,Parma,3.5
Barbers,Broadview Heights,4.5
Chinese,Fitchburg,3.75
Mobile Phones,Aurora,2.25
Bistros,Stoughton,3.5
Packing Services,Chandler,3.5
Golf Equipment,Homestead,2.5
Venues & Event Spaces,Verona,4.166666666666667
Nail Technicians,Charlotte,4.4375
Aerial Tours,Las Vegas,4.5
Beer Gardens,Middleton,3.75
French,Saint-Jean-sur-Richelieu,4.166666666666667
Pool Cleaners,Fort Mill,1.0
Medical Spas,Upper St Clair,5.0
Chocolatiers & Shops,Terrebonne,4.5
Planetarium,Tempe,3.5
Hair Extensions,Concord,3.0
Education,Strongsville,5.0
Naturopathic/Holistic,Chagrin Falls,2.5
Patisserie/Cake Shop,Scottsdale,4.5
Nightlife,Kannapolis,4.0
Planetarium,Montréal,3.0
Cosmetic Dentists,Monona,4.0
Skin Care,Vaudreuil-Dorion,3.0
Brasseries,Verdun,3.5
Fitness/Exercise Equipment,Gilbert,2.5
Bars,Caledon,4.0
Antiques,Avondale,4.75
Massage,Willoughby,4.25
Hungarian,Eastlake,5.0
Formal Wear,Irwin,4.5
Cards & Stationery,N Las Vegas,3.5
Musicians,Montréal,4.25
Karaoke,Allison Park,3.0
Livestock Feed & Supply,San Tan Valley,3.5
Bookstores,Harrisburg,5.0
Cards & Stationery,Woodbridge,1.0
Interior Design,Oakville,1.0
Pool & Hot Tub Service,Higley,5.0
Piercing,Homestead,5.0
Seafood Markets,Ajax,2.0
